,Lot,Start,Total,React,Serious,Death,Anaphylaxis,r_React,r_Serious,r_Death,r_Anaphylaxis,d_React,d_Serious,d_Death,d_Anaphylaxis
2,EP2163,2021-02-16 00:00:00,384930,618,108,4,98,0.16054867118696906,0.02805704933364508,0.0010391499753201882,0.02545917439534461,6.740930316631015,9.418013117901138,2.3483234808414903,9.995634077480572
4,EP9605,2021-03-05 00:00:00,978120,1785,276,4,327,0.1824929456508404,0.02821739663844927,0.00040894777736883,0.03343148079990185,7.662300913574258,9.47183748845799,0.9241607956900123,13.125674994600042
6,ER2659,2021-03-24 00:00:00,993330,1933,128,4,131,0.19459796844955854,0.012885949281709,0.00040268591505340627,0.013187963717999055,8.170552489648417,4.325474069941246,0.9100099236712019,5.177782181982827
8,ER9480,2021-04-01 00:00:00,979290,1216,108,11,121,0.12417159370564387,0.011028398125172319,0.0011232627720082918,0.01235589049209121,5.213572023277521,3.7019430296170537,2.5384058175523756,4.851098395513911
10,ER7449,2021-04-13 00:00:00,1110330,1252,131,14,164,0.11275926976664595,0.011798294200823178,0.0012608864031414084,0.0147703835796565,4.73440467885263,3.960376881790004,2.8494146345510813,5.799062732893289
12,ET3674,2021-04-16 00:00:00,728910,701,76,8,64,0.09617099504739955,0.010426527280459865,0.0010975291874168278,0.008780233499334622,4.037915551107997,3.4999108257535227,2.480251766282023,3.447244588977477
14,ET9096,2021-04-16 00:00:00,297180,438,39,9,39,0.14738542297597415,0.013123359580052493,0.0030284675953967293,0.013123359580052493,6.188247206426385,4.405166459455726,6.8438836877673745,5.152417678296368
16,EW4811,2021-04-21 00:00:00,3057210,1678,192,25,185,0.054886645012936636,0.006280235901361045,0.0008177390496563859,0.006051268967457257,2.304516422406236,2.108109922721078,1.8479679133104914,2.3758142885488374
18,EX3617,2021-04-29 00:00:00,3411720,560,146,44,62,0.01641400818355551,0.004279366419284115,0.0012896720715650757,0.0018172651917507884,0.6891722277358809,1.436470692047907,2.914465938671246,0.7134841686698604
20,EY2173,2021-05-04 00:00:00,3622320,1654,162,27,116,0.045661344110956514,0.004472271914132379,0.0007453786523553966,0.0032023675434528147,1.917175249972735,1.5012239902080784,1.6844442409815052,1.2572950579186064
22,EY4834,2021-05-09 00:00:00,2144610,399,44,14,29,0.018604781288905674,0.00205165507947832,0.0006527993434703746,0.0013522272114743473,0.781155853221742,0.688686619257728,1.4752288533491413,0.5309036414779058
24,EY0779,2021-05-10 00:00:00,3415230,440,41,14,29,0.012883466120876192,0.0012005047976270998,0.00040992846748242435,0.0008491375397850218,0.5409359461864659,0.40297786833190097,0.926377008629317,0.33338347887255954
26,EY5420,2021-05-14 00:00:00,3566160,363,49,11,29,0.010179016084527894,0.0013740269645781459,0.00030845503286448166,0.0008131996320972698,0.42738465295524686,0.46122469340455263,0.6970622274577881,0.3192737450226382
28,EX6564,2021-05-14 00:00:00,207090,13,1,0,2,0.006277463904582548,0.00048288183881404226,0.0,0.0009657636776280845,0.2635708314064949,0.1620907258730631,0.0,0.37917255983986026
30,FA2453,2021-05-16 00:00:00,3554460,116,35,10,18,0.003263505567653033,0.0009846784040332427,0.0002813366868666408,0.0005064060363599534,0.1370242647095294,0.3305306276443798,0.6357788225780533,0.19882221455724072
32,FA4597,2021-05-18 00:00:00,2933190,119,26,9,12,0.004057016422393367,0.0008864069494304835,0.0003068331748028597,0.0004091108997371462,0.1703412728027677,0.2975434864251441,0.693397070878705,0.16062275969283268
34,FA5715,2021-05-20 00:00:00,960570,16,6,3,1,0.0016656776705497778,0.0006246291264561666,0.0003123145632280833,0.00010410485440936111,0.06993653092318876,0.2096715601427442,0.7057841886694735,0.04087304694985095
36,FA5829,2021-05-20 00:00:00,1691820,80,12,3,7,0.004728635434029625,0.0007092953151044437,0.00017732382877611093,0.0004137556004775922,0.19854042838152824,0.23809177161437484,0.40072532427222524,0.1624463352840895
38,FA7338,2021-05-22 00:00:00,3989700,57,17,3,8,0.0014286788480336867,0.0004260972002907487,7.519362358072035e-05,0.0002005163295485876,0.05998570083600557,0.14302961705338618,0.1699263398526797,0.07872556374387714
40,FA5765,2021-05-23 00:00:00,4153500,34,8,2,5,0.0008185867340796918,0.00019260864331286867,4.815216082821717e-05,0.00012038040207054291,0.03436986486249808,0.06465365291162178,0.10881667960519019,0.047263058515250186
42,FA7812,2021-05-27 00:00:00,1161810,3,1,0,1,0.00025821778087639115,8.607259362546373e-05,0.0,8.607259362546373e-05,0.010841746957692215,0.028892304611814874,0.0,0.03379332481956459
44,FC3661,2021-05-28 00:00:00,4047030,6,3,2,1,0.0001482568698527068,7.41284349263534e-05,4.941895661756894e-05,2.470947830878447e-05,0.006224836501294229,0.024882964856489304,0.1116794485684953,0.009701292727906225
46,EY5422,2021-05-30 00:00:00,3115710,10,4,2,1,0.0003209541324449323,0.0001283816529779729,6.419082648898646e-05,3.209541324449323e-05,0.01347584770182547,0.043094342440153456,0.14506166451311495,0.012601115863998359
48,EY5423,2021-06-01 00:00:00,3466710,11,2,1,0,0.00031730372601111717,5.7691586547475846e-05,2.8845793273737923e-05,0.0,0.01332257869488942,0.019365547404341658,0.06518717728626816,0.0
50,EY3860,2021-06-02 00:00:00,3429270,7,1,1,1,0.00020412507618239453,2.9160725168913503e-05,2.9160725168913503e-05,2.9160725168913503e-05,0.008570565575221038,0.00978848805169982,0.06589887625356963,0.011448915573465586
54,Total,-,57400200,13671,1710,254,1462,0.02381699018470319,0.0029790836965724854,0.0004425071689645681,0.0025470294528590494,,,,
