season,2019/2020,2018/2019,2017/2018,2016/2017,2015/2016,2014/2015,2013/2014,2012/2013,2011/2012,2010/2011,2009/2010,2008/2009,2007/2008,2006/2007,2005/2006,2004/2005,2003/2004,2002/2003,2001/2002,2000/2001
36,60,20,39,19,53,5,4,40,41,50,599,4,2,2,9,1,1,0,0,1
37,78,30,48,25,43,13,3,20,38,31,521,4,2,1,4,0,2,0,0,0
38,66,26,23,34,45,10,8,5,40,31,719,4,1,3,1,0,2,0,0,0
39,72,25,21,23,42,15,7,33,46,39,477,0,6,5,1,2,0,0,1,2
40,86,32,37,31,50,19,15,11,50,64,755,2,11,0,0,0,0,0,0,0
41,77,10,31,35,54,4,16,8,60,41,999,19,10,0,1,4,0,0,0,0
42,48,32,44,67,50,6,6,4,63,50,1027,5,22,2,1,5,0,0,1,0
43,70,24,51,83,76,14,19,11,68,75,1402,10,36,2,4,3,1,0,4,2
44,83,22,47,95,54,27,13,11,77,59,1680,21,32,1,6,2,3,0,1,2
45,77,46,63,108,67,30,14,14,54,78,1460,31,56,6,14,2,0,0,1,0
46,150,64,124,186,70,81,17,11,94,137,1583,55,93,6,26,11,8,8,4,0
47,181,66,189,163,77,111,53,30,93,145,1594,52,84,6,26,6,8,13,9,1
48,360,106,281,270,70,194,97,44,127,171,1414,64,181,4,56,26,29,42,7,2
49,419,150,381,305,87,303,105,91,170,257,1443,203,226,11,82,18,35,110,8,1
50,529,265,494,340,95,383,104,139,222,372,1309,274,335,23,137,34,49,224,17,11
51,572,420,558,390,106,531,154,233,227,423,1040,279,302,18,192,30,108,438,42,12
52,391,301,416,215,130,382,133,148,166,245,619,236,152,10,164,54,117,353,38,8
53,0,0,0,0,102,0,0,0,53,0,177,0,0,0,0,0,0,0,0,0
54,96,263,352,347,210,73,65,146,171,681,512,46,49,22,194,19,31,132,43,6
55,458,788,692,513,412,611,474,622,457,1130,486,485,277,46,433,31,299,838,222,25
56,360,787,919,739,768,501,739,734,965,1650,552,591,320,148,796,105,570,1004,371,78
57,424,877,754,633,727,530,1009,818,736,1118,413,949,454,290,669,331,939,1108,792,143
58,347,737,767,581,820,412,880,588,668,953,346,843,391,326,443,565,860,799,897,218
59,270,574,649,505,536,310,697,460,542,636,266,560,299,411,341,683,730,641,1025,395
60,200,386,495,516,547,204,498,300,510,513,255,386,192,334,278,721,422,402,707,275
61,188,374,512,433,468,262,526,318,409,525,178,332,273,514,238,721,271,373,971,578
62,130,296,461,423,474,164,512,323,335,441,115,327,175,603,213,645,189,311,745,609
63,88,243,396,366,383,150,395,255,318,415,88,346,137,507,165,609,117,307,607,689
64,38,193,321,362,313,145,429,201,253,283,66,304,108,423,145,391,93,242,515,602
65,8,154,228,264,216,146,298,161,183,188,30,176,91,273,69,283,47,184,375,357
66,3,141,195,293,228,97,223,133,159,174,35,108,68,283,51,160,37,94,219,297
67,4,127,133,242,276,70,150,98,135,161,26,101,48,123,39,147,31,50,113,248
68,2,141,112,238,223,57,114,85,157,181,42,83,35,150,44,119,24,35,89,176
69,1,184,123,248,214,85,126,126,128,176,31,101,51,130,72,94,36,34,113,133
70,1,133,58,159,120,65,99,95,107,153,16,102,39,100,55,83,25,12,119,81
71,0,37,37,83,77,26,55,52,42,57,14,115,16,46,38,52,25,5,34,28
72,0,52,44,99,82,13,28,65,45,61,44,90,9,46,44,17,4,5,46,43
73,0,91,39,77,47,22,33,83,55,53,43,238,12,54,50,36,8,5,44,23
74,0,56,31,34,43,18,20,48,38,39,24,520,28,57,59,44,5,2,26,13
75,0,33,21,29,33,10,19,30,37,37,12,186,10,20,53,24,3,0,70,10
76,0,34,19,23,26,11,2,21,30,16,13,111,7,11,38,13,1,1,17,12
77,0,13,3,18,30,8,6,21,27,9,13,205,8,12,16,4,0,0,4,13
78,0,14,5,20,32,7,7,7,29,5,6,252,7,1,12,3,2,0,6,6
79,0,10,4,21,27,9,3,4,33,7,11,281,9,5,10,8,0,0,5,5
80,0,11,10,25,29,3,1,3,32,1,15,423,6,5,3,1,0,0,2,4
81,0,7,10,12,32,5,0,8,39,2,16,824,10,7,8,4,0,1,2,2
82,0,4,6,12,29,1,5,1,33,4,12,1153,5,4,7,6,0,2,0,0
83,0,7,7,17,31,1,1,1,36,2,7,1038,0,6,10,5,0,0,0,0
84,0,17,4,28,35,4,1,3,39,1,27,766,0,1,9,1,1,0,0,0
85,0,12,2,25,37,3,3,5,45,1,24,1061,2,0,1,4,2,1,0,0
86,0,8,3,27,34,3,3,1,38,1,14,1135,0,8,0,11,2,0,0,0
87,0,18,8,24,34,5,6,1,38,1,27,1529,0,4,1,0,2,1,1,0
88,0,17,3,38,35,5,6,4,38,0,33,1008,6,0,0,1,1,0,0,0
