date,susukino,hokkaido
2020/5/12,0,979
2020/5/13,0,983
2020/5/14,0,989
2020/5/15,0,999
2020/5/16,0,1006
2020/5/17,0,1014
2020/5/18,0,1015
2020/5/19,0,1018
2020/5/20,0,1019
2020/5/21,0,1024
2020/5/22,0,1030
2020/5/23,0,1039
2020/5/24,0,1054
2020/5/25,0,1057
2020/5/26,0,1066
2020/5/27,0,1071
2020/5/28,0,1078
2020/5/29,0,1081
2020/5/30,0,1085
2020/5/31,0,1091
2020/6/1,0,1096
2020/6/2,0,1099
2020/6/3,0,1102
2020/6/4,0,1105
2020/6/5,0,1109
2020/6/6,0,1117
2020/6/7,0,1121
2020/6/8,0,1125
2020/6/9,0,1132
2020/6/10,0,1137
2020/6/11,0,1144
2020/6/12,0,1154
2020/6/13,0,1163
2020/6/14,0,1170
2020/6/15,0,1176
2020/6/16,0,1178
2020/6/17,0,1184
2020/6/18,0,1189
2020/6/19,0,1192
2020/6/20,0,1195
2020/6/21,0,1197
2020/6/22,0,1199
2020/6/23,0,1200
2020/6/24,0,1210
2020/6/25,0,1216
2020/6/26,0,1221
2020/6/27,0,1222
2020/6/28,0,1239
2020/6/29,0,1250
2020/6/30,0,1263
2020/7/1,0,1267
2020/7/2,0,1275
2020/7/3,0,1275
2020/7/4,0,1276
2020/7/5,0,1277
2020/7/6,0,1277
2020/7/7,0,1278
2020/7/8,0,1282
2020/7/9,0,1283
2020/7/10,0,1289
2020/7/11,0,1290
2020/7/12,0,1294
2020/7/13,0,1296
2020/7/14,0,1304
2020/7/15,0,1317
2020/7/16,0,1323
2020/7/17,0,1326
2020/7/18,0,1339
2020/7/19,0,1348
2020/7/20,0,1351
2020/7/21,0,1361
2020/7/22,0,1367
2020/7/23,0,1371
2020/7/24,0,1377
2020/7/25,36,1386
2020/7/26,38,1391
2020/7/27,41,1396
2020/7/28,42,1399
2020/7/29,42,1404
2020/7/30,44,1413
2020/7/31,44,1428
2020/8/1,44,1446
2020/8/2,46,1455
2020/8/3,46,1478
2020/8/4,47,1489
2020/8/5,50,1503
2020/8/6,51,1514
2020/8/7,52,1528
2020/8/8,52,1541
2020/8/9,57,1552
2020/8/10,58,1565
2020/8/11,59,1579
2020/8/12,59,1583
2020/8/13,59,1593
2020/8/14,60,1605
2020/8/15,61,1619
2020/8/16,65,1627
2020/8/17,66,1632
2020/8/18,66,1638
2020/8/19,66,1646
2020/8/20,66,1671
2020/8/21,68,1681
2020/8/22,68,1698
2020/8/23,68,1712
2020/8/24,69,1720
2020/8/25,69,1727
2020/8/26,70,1734
2020/8/27,70,1744
2020/8/28,70,1760
2020/8/29,70,1769
2020/8/30,70,1773
2020/8/31,71,1781
2020/9/1,71,1797
2020/9/2,71,1803
2020/9/3,71,1809
2020/9/4,73,1814
2020/9/5,76,1824
2020/9/6,77,1828
2020/9/7,80,1834
2020/9/8,80,1845
2020/9/9,88,1849
2020/9/10,90,1860
2020/9/11,91,1866
2020/9/12,93,1873
2020/9/13,93,1876
2020/9/14,93,1884
2020/9/15,93,1892
2020/9/16,103,1903
2020/9/17,106,1910
2020/9/18,109,1927
2020/9/19,109,1944
2020/9/20,109,1960
2020/9/21,122,1975
2020/9/22,123,1984
2020/9/23,124,1996
2020/9/24,128,2007
2020/9/25,129,2032
2020/9/26,129,2039
2020/9/27,129,2058
2020/9/28,134,2075
2020/9/29,134,2091
2020/9/30,134,2107
2020/10/1,139,2126
2020/10/2,139,2141
2020/10/3,140,2159
2020/10/4,145,2181
2020/10/5,145,2217
2020/10/6,167,2229
2020/10/7,167,2267
2020/10/8,182,2296
2020/10/9,182,2323
2020/10/10,182,2347
2020/10/11,195,2378
2020/10/12,195,2390
2020/10/13,195,2410
2020/10/14,195,2430
2020/10/15,195,2460
2020/10/16,195,2491
2020/10/17,195,2518
2020/10/18,195,2542
2020/10/19,225,2559
2020/10/20,229,2590
2020/10/21,232,2612
2020/10/22,243,2652
2020/10/23,257,2703
2020/10/24,272,2763
2020/10/25,285,2804
2020/10/26,301,2854
2020/10/27,307,2881
2020/10/28,314,2933
2020/10/29,328,2986
2020/10/30,332,3055
2020/10/31,342,3136
2020/11/1,350,3205
2020/11/2,350,3301
2020/11/3,350,3372
2020/11/4,379,3447
2020/11/5,387,3566
2020/11/6,398,3681
2020/11/7,418,3868
2020/11/8,422,4021
2020/11/9,431,4221
2020/11/10,431,4387
2020/11/11,457,4584
2020/11/12,457,4820
2020/11/13,457,5055
2020/11/14,482,5285
2020/11/15,502,5494
2020/11/16,502,5683
2020/11/17,516,5880
2020/11/18,518,6113
2020/11/19,518,6380
2020/11/20,518,6684
2020/11/21,534,6918
2020/11/22,534,7163
2020/11/23,534,7369
2020/11/24,543,7585
2020/11/25,545,7766
2020/11/26,545,8022
2020/11/27,551,8274
2020/11/28,551,8526
2020/11/29,551,8718
2020/11/30,551,8869
2020/12/1,551,9075
2020/12/2,562,9251
2020/12/3,563,9457
2020/12/4,564,9669
2020/12/5,564,9852
2020/12/6,565,10039
2020/12/7,566,10163
2020/12/8,566,10367
2020/12/9,569,10564
2020/12/10,573,10805
2020/12/11,573,10982
2020/12/12,580,11171
2020/12/13,581,11335
2020/12/14,586,11460
2020/12/15,588,11564
2020/12/16,588,11650
2020/12/17,595,11789
2020/12/18,604,11930
2020/12/19,607,12030
2020/12/20,608,12197
